"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
3.05535476905207e-29	0.356641881246849	0.599	0.453	1.19601862434543e-24	"0"	"ROMO1"
3.36653329569544e-29	0.700537041858363	0.062	0.014	1.31782945859998e-24	"0"	"SGPP2"
4.2589539001267e-29	0.430330216916737	0.437	0.305	1.6671675042046e-24	"0"	"SURF4"
4.3212132482908e-29	0.649594565913087	0.181	0.089	1.69153892604344e-24	"0"	"NPIPB5"
4.91906398066048e-29	0.644131828917622	0.186	0.092	1.92556759522955e-24	"0"	"CH507-9B2.3"
5.01061302166337e-29	0.587500791448417	0.232	0.127	1.96140446733013e-24	"0"	"NFKB2"
5.06437699891199e-29	0.37424434825723	0.533	0.394	1.9824503762241e-24	"0"	"UBE2V1"
5.41421586986559e-29	0.423633300714661	0.411	0.273	2.11939480225889e-24	"0"	"LINC01420"
6.18772039797708e-29	0.292119837914331	0.698	0.572	2.42218314978813e-24	"0"	"C4orf3"
6.28579870916954e-29	0.834802625110315	0.144	0.062	2.46057590470442e-24	"0"	"CXCR6"
7.07548197517637e-29	0.653159937921585	0.119	0.046	2.76969741918279e-24	"0"	"FCRL3"
1.00946825845123e-28	0.686812167246127	0.14	0.06	3.95156349770734e-24	"0"	"TRAF3"
1.12109416126306e-28	0.306977569935795	0.669	0.537	4.38852309426427e-24	"0"	"DAD1"
1.28594728006847e-28	0.377391228000292	0.522	0.386	5.03384062782802e-24	"0"	"IFI16"
1.78986925158723e-28	0.616506261592337	0.06	0.014	7.00644318533822e-24	"0"	"RP11-572M11.4"
1.88579214970774e-28	0.273099609440208	0.84	0.758	7.38193337003096e-24	"0"	"RARRES3"
2.61043695359097e-28	0.534507698997929	0.285	0.172	1.02185554548318e-23	"0"	"MESDC2"
2.66642066625872e-28	0.584495830402287	0.243	0.137	1.04377036980697e-23	"0"	"TYMP"
2.73101917396327e-28	0.264770121899867	0.526	0.373	1.06905745564792e-23	"0"	"MT1X"
2.8880056459922e-28	0.713742316205623	0.126	0.052	1.13050981012365e-23	"0"	"CD38"
3.14932049200107e-28	0.259973998304534	0.759	0.638	1.23280150659382e-23	"0"	"CAP1"
3.35485721261098e-28	0.668260774380268	0.085	0.027	1.31325885587657e-23	"0"	"AC007246.3"
3.48928848915363e-28	0.701879467999923	0.11	0.042	1.36588197907919e-23	"0"	"HLA-DOA"
4.79957491237118e-28	0.674645424017018	0.088	0.028	1.8787935994477e-23	"0"	"ZNF79"
4.8405188125308e-28	0.589798183300161	0.199	0.102	1.89482108916518e-23	"0"	"BANP"
4.96597779328139e-28	0.477030977424447	0.38	0.256	1.94393200718e-23	"0"	"TMX1"
5.14735731395626e-28	0.264346099091999	0.779	0.66	2.01493302054818e-23	"0"	"TMEM258"
1.11182572500315e-27	0.290549535239091	0.717	0.586	4.35224180052483e-23	"0"	"TRMT112"
1.21089108055327e-27	0.503343669491986	0.378	0.256	4.74003313482577e-23	"0"	"TSPAN14"
1.37854451927384e-27	0.34796789838293	0.578	0.454	5.39631252069747e-23	"0"	"ARID4B"
1.46586432092275e-27	0.695024827356625	0.132	0.056	5.73812588425211e-23	"0"	"PCNXL2"
1.61561622352005e-27	0.335288467049568	0.632	0.512	6.32432970696922e-23	"0"	"SQSTM1"
