""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"C4orf331"	2.18871529695095e-44	0.389145474580632	0.21	0.059	8.5677260299145e-40	"17"	"C4orf33"
"FAM210A2"	2.26480932182268e-44	0.319446729687125	0.226	0.066	8.86559609027488e-40	"17"	"FAM210A"
"DGCR6L"	2.35650699776122e-44	0.338174967657128	0.597	0.259	9.22454664273631e-40	"17"	"DGCR6L"
"INTS9"	2.41184317797231e-44	0.262468654564239	0.186	0.049	9.44116012017262e-40	"17"	"INTS9"
"HAVCR26"	2.47472542503304e-44	0.449544407375107	0.436	0.184	9.68731267629183e-40	"17"	"HAVCR2"
"MANEA1"	2.50911384861683e-44	0.289474687797327	0.159	0.038	9.82192616041057e-40	"17"	"MANEA"
"CCDC138"	2.96733264887911e-44	0.351351467313486	0.123	0.025	1.16156236540373e-39	"17"	"CCDC138"
"OGFOD3"	3.10932097907747e-44	0.365110106790649	0.26	0.082	1.21714369725987e-39	"17"	"OGFOD3"
"ATP6V0E26"	3.48113169865611e-44	0.312278186877794	0.463	0.183	1.36268900343893e-39	"17"	"ATP6V0E2"
"NUPL2"	3.5283204614769e-44	0.276939540156083	0.383	0.142	1.38116104464513e-39	"17"	"NUPL2"
"TIFA4"	3.59442027219734e-44	0.296080016719589	0.288	0.094	1.40703581555165e-39	"17"	"TIFA"
"MUTYH"	3.66308140046112e-44	0.331660330366766	0.226	0.066	1.43391321421051e-39	"17"	"MUTYH"
"SPPL2A1"	3.69020179229517e-44	0.270158062612347	0.488	0.197	1.44452949159394e-39	"17"	"SPPL2A"
"SLC39A72"	3.78054980724199e-44	0.287151990752549	0.3	0.1	1.47989622204488e-39	"17"	"SLC39A7"
"SNF82"	3.89803808895619e-44	0.339926273697893	0.472	0.19	1.5258870099219e-39	"17"	"SNF8"
"C6orf136"	3.95951205539076e-44	0.277741070053303	0.264	0.083	1.54995099408271e-39	"17"	"C6orf136"
"ABRACL3"	4.33031006360465e-44	0.431566729219336	0.821	0.462	1.69509987439804e-39	"17"	"ABRACL"
"DFFA"	4.34565102736658e-44	0.250138129695895	0.264	0.083	1.70110509466265e-39	"17"	"DFFA"
"IFT52"	5.1605046414048e-44	0.287337407845112	0.309	0.105	2.02007954187791e-39	"17"	"IFT52"
"IL12RB15"	5.57828319016318e-44	0.279600660237337	0.374	0.137	2.18361895478938e-39	"17"	"IL12RB1"
"ZNF223"	5.70437228241171e-44	0.292232492847528	0.423	0.163	2.23297652995006e-39	"17"	"ZNF22"
"MCTP23"	6.19958447043774e-44	0.295657883043561	0.353	0.125	2.42682734095286e-39	"17"	"MCTP2"
"FDX11"	6.21833109481263e-44	0.279773313481175	0.559	0.236	2.4341657070644e-39	"17"	"FDX1"
"CAAP11"	6.37696972120787e-44	0.280823729956025	0.251	0.077	2.49626479736682e-39	"17"	"CAAP1"
"SRA14"	7.13776727707241e-44	0.322589224118325	0.584	0.255	2.79407900061e-39	"17"	"SRA1"
"ZNRD13"	7.39048494191512e-44	0.292453038382027	0.582	0.249	2.89300533051267e-39	"17"	"ZNRD1"
"TBCB3"	7.4133636908753e-44	0.403003621349972	0.761	0.388	2.90196121679314e-39	"17"	"TBCB"
"MRFAP1L15"	7.8845068368316e-44	0.275551166063286	0.448	0.174	3.08639020127773e-39	"17"	"MRFAP1L1"
"ZMAT21"	7.89925257772146e-44	0.345115419258446	0.647	0.294	3.09216242154907e-39	"17"	"ZMAT2"
"RAB11B2"	9.06977840536469e-44	0.368091760616457	0.684	0.323	3.55036475678001e-39	"17"	"RAB11B"
"PTS2"	9.35970964052796e-44	0.292734558840002	0.365	0.133	3.66385833878467e-39	"17"	"PTS"
"INO80E"	9.4864833745284e-44	0.323005116404584	0.55	0.233	3.71348391695914e-39	"17"	"INO80E"
"TFIP113"	9.5834049551802e-44	0.301325117754056	0.284	0.093	3.75142386970529e-39	"17"	"TFIP11"
"RUNX36"	1.0061614457958e-43	0.320975457508325	0.631	0.286	3.93861897956767e-39	"17"	"RUNX3"
"MEMO12"	1.03188663272675e-43	0.264252314563164	0.304	0.103	4.03932022380886e-39	"17"	"MEMO1"
"OLA1"	1.11659348934449e-43	0.366570187056623	0.637	0.291	4.37090521403901e-39	"17"	"OLA1"
"LSG1"	1.15301496851279e-43	0.267044050917889	0.26	0.082	4.5134770942433e-39	"17"	"LSG1"
"GNB1L"	1.15939323511624e-43	0.294588169470972	0.154	0.036	4.53844481886252e-39	"17"	"GNB1L"
"EIF5B"	1.24951679910076e-43	0.333912148178826	0.566	0.248	4.89123351007992e-39	"17"	"EIF5B"
"PRR5L4"	1.27114869811196e-43	0.341450086089657	0.226	0.066	4.97591157875926e-39	"17"	"PRR5L"
