""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"MCL1"	2.08885756373802e-26	0.709136817786228	0.844	0.92	8.17683293325248e-22	"13"	"MCL1"
"HSP90AA11"	5.97497348647465e-26	0.781986659992614	0.931	0.96	2.3389033712805e-21	"13"	"HSP90AA1"
"HNRNPA2B1"	1.85833040095294e-24	0.737264069034633	0.869	0.958	7.2744343545303e-20	"13"	"HNRNPA2B1"
"RBM39"	5.48261033151654e-24	0.86296785422121	0.778	0.861	2.14616781427215e-19	"13"	"RBM39"
"IGFBP5"	2.10420111377944e-21	3.70975286865598	0.105	0.016	8.2368952598896e-17	"13"	"IGFBP5"
"NR4A21"	2.96280921993517e-21	0.901408970113962	0.76	0.803	1.15979166914362e-16	"13"	"NR4A2"
"TRA2B"	3.13381295011228e-21	0.864333328343319	0.749	0.805	1.22673107932145e-16	"13"	"TRA2B"
"IFRD1"	1.39824659448052e-20	1.25980837304398	0.655	0.616	5.473436294094e-16	"13"	"IFRD1"
"RSRP1"	6.91532581390874e-20	1.38398508949253	0.629	0.611	2.70700428985457e-15	"13"	"RSRP1"
"SYNE2"	1.00811423507015e-19	2.28094359196804	0.113	0.02	3.94626317318209e-15	"13"	"SYNE2"
"SRSF5"	6.26877124922649e-19	0.743823842117019	0.811	0.885	2.45391050550971e-14	"13"	"SRSF5"
"KLF61"	9.9927814027911e-18	0.762516599380875	0.825	0.929	3.91167428012258e-13	"13"	"KLF6"
"BTG2"	5.02741850359276e-17	0.911886419096385	0.745	0.754	1.96798297323139e-12	"13"	"BTG2"
"MAT2A"	5.69670615233713e-17	1.1772782585903	0.655	0.687	2.22997562333237e-12	"13"	"MAT2A"
"NFKBIZ1"	1.5369512491293e-16	0.98143063089624	0.727	0.739	6.01639566471666e-12	"13"	"NFKBIZ"
"DNAJA1"	1.10290220230969e-15	0.965565578289707	0.735	0.797	4.31731067094127e-11	"13"	"DNAJA1"
"REL"	8.15145122988068e-15	0.893054035590081	0.731	0.824	3.19088558393679e-10	"13"	"REL"
"SGK1"	1.60821158093686e-14	0.643361743420077	0.793	0.853	6.29534423357736e-10	"13"	"SGK1"
"SAT1"	1.32637191027452e-13	0.549085759123677	0.945	0.992	5.19208284276962e-09	"13"	"SAT1"
"SLC1A31"	1.45638838284759e-13	1.2291717750772	0.509	0.411	5.7010323246569e-09	"13"	"SLC1A3"
"DDX3Y"	2.09325925564599e-13	1.39441923025555	0.498	0.435	8.19406335622622e-09	"13"	"DDX3Y"
"CCNH"	2.2673741971214e-13	1.16321118610119	0.618	0.645	8.87563629463172e-09	"13"	"CCNH"
"NABP1"	2.65314454889714e-13	1.42919656754402	0.527	0.475	1.03857343366578e-08	"13"	"NABP1"
"EGR11"	1.23594222831385e-12	1.08510741961386	0.698	0.629	4.83809585273457e-08	"13"	"EGR1"
"CD831"	1.27403787124292e-12	0.683997340547462	0.731	0.822	4.98722124698039e-08	"13"	"CD83"
"NR4A11"	1.42080983024418e-12	0.774435072380464	0.735	0.764	5.56176008049085e-08	"13"	"NR4A1"
"BRD2"	6.74000834347217e-12	1.33250459517492	0.593	0.644	2.63837626605218e-07	"13"	"BRD2"
"IGFBP7"	9.01055104449094e-12	0.589489096129524	0.065	0.272	3.52718020636598e-07	"13"	"IGFBP7"
"NR4A31"	2.36278389074917e-11	1.27174898394237	0.571	0.554	9.24911754033764e-07	"13"	"NR4A3"
"SRSF7"	2.51856693074158e-11	0.954576311681867	0.727	0.837	9.85893025038792e-07	"13"	"SRSF7"
"HSPH11"	1.44062563403987e-10	1.11985315069479	0.593	0.552	5.63932904444907e-06	"13"	"HSPH1"
"DDX3X"	5.42540137318557e-10	1.07634639592206	0.607	0.688	2.12377336753349e-05	"13"	"DDX3X"
"MSRA"	5.52517959730234e-10	0.291344422453258	0.102	0.31	2.162831553364e-05	"13"	"MSRA"
"EIF1AX"	5.88224057190122e-10	0.383523149378725	0.247	0.569	2.30260307187073e-05	"13"	"EIF1AX"
"CLK1"	8.32130314320452e-10	0.976893428281957	0.593	0.664	3.25737411540741e-05	"13"	"CLK1"
"YIPF4"	8.63825171570715e-10	0.345679499950959	0.142	0.38	3.38144363411356e-05	"13"	"YIPF4"
"JUN1"	8.65049239745282e-10	0.845215643160649	0.851	0.897	3.38623524898291e-05	"13"	"JUN"
"N4BP2L2"	9.91015674530753e-10	1.11879264881908	0.564	0.644	3.87933085795063e-05	"13"	"N4BP2L2"
"NOSIP"	1.38944260119719e-09	0.49975453427379	0.16	0.412	5.43897306238639e-05	"13"	"NOSIP"
"AAK1"	1.74857177616531e-09	1.3187839450866	0.375	0.287	6.84478421779912e-05	"13"	"AAK1"
"NKTR"	1.815320841823e-09	1.58892827586194	0.429	0.375	7.10607343531612e-05	"13"	"NKTR"
"NASP"	2.6693615505105e-09	0.380655560230356	0.164	0.405	0.000104492157894733	"13"	"NASP"
"BTN3A2"	4.04725761612111e-09	0.258228126194238	0.087	0.274	0.000158429899383061	"13"	"BTN3A2"
"NAMPT1"	5.3492517526481e-09	0.896274072156368	0.687	0.825	0.00020939645985741	"13"	"NAMPT"
"CYCS"	5.95323295879706e-09	0.26105344121776	0.389	0.76	0.000233039304172111	"13"	"CYCS"
"AKAP13"	6.40429700974989e-09	0.932541093765346	0.644	0.772	0.000250696206446659	"13"	"AKAP13"
"PPP1R2"	7.72686896513767e-09	0.461436791955893	0.244	0.556	0.000302468285640314	"13"	"PPP1R2"
"SDF2"	1.23331227324811e-08	0.299935222879219	0.127	0.336	0.000482780089362971	"13"	"SDF2"
"SNAP23"	1.46994310449807e-08	0.287212424026939	0.255	0.553	0.000575409228255768	"13"	"SNAP23"
"VMP1"	1.71449916538052e-08	1.04721380703754	0.596	0.703	0.000671140698288205	"13"	"VMP1"
"SON"	2.17648447419298e-08	0.740272632637164	0.647	0.82	0.000851984847422843	"13"	"SON"
"GADD45B1"	2.2684363400159e-08	0.687320154781773	0.804	0.86	0.000887979405299225	"13"	"GADD45B"
"TUBA1A1"	2.85128283436009e-08	0.307017889502129	0.371	0.685	0.00111613466551026	"13"	"TUBA1A"
"GPBP1L1"	3.17817178943856e-08	0.25762619502545	0.116	0.311	0.00124409534697572	"13"	"GPBP1L1"
"CPSF6"	4.82622613252008e-08	0.302528766997295	0.135	0.341	0.00188922621957499	"13"	"CPSF6"
"PHLDA2"	8.61877894920067e-08	0.594741446282088	0.102	0.267	0.0033738210196646	"13"	"PHLDA2"
"PHF3"	1.09143521150441e-07	0.298387720094314	0.175	0.403	0.00427242313543401	"13"	"PHF3"
"EFCAB14"	1.21041455403094e-07	0.405710665511058	0.124	0.311	0.00473816777175413	"13"	"EFCAB14"
"MRPS5"	1.34690990636926e-07	0.331717631421997	0.149	0.355	0.00527247882848246	"13"	"MRPS5"
"PHACTR1"	1.43849802574643e-07	1.03708580893273	0.589	0.664	0.00563100052178442	"13"	"PHACTR1"
"RASGEF1B"	1.58681366952847e-07	1.13683929551524	0.487	0.501	0.00621158210936919	"13"	"RASGEF1B"
"IGLV3-1"	1.60528517992297e-07	0.992567970452822	0.204	0.11	0.00628388883680848	"13"	"IGLV3-1"
"APP"	1.70737821707425e-07	0.889223413053415	0.171	0.392	0.00668353203073715	"13"	"APP"
"NFKBID"	1.81590277082321e-07	1.22988460119566	0.393	0.339	0.00710835139638745	"13"	"NFKBID"
"CELF21"	2.17007394089957e-07	0.719907438799378	0.64	0.765	0.00849475444165138	"13"	"CELF2"
"SRGAP2"	2.18819366663233e-07	1.1290213620235	0.465	0.47	0.00856568410803225	"13"	"SRGAP2"
"ECI2"	2.28138592630908e-07	0.274988337361667	0.073	0.22	0.00893048520853688	"13"	"ECI2"
"RSF1"	2.62618237679204e-07	0.271715067471782	0.193	0.428	0.0102801909139524	"13"	"RSF1"
"RDX"	2.85217827496399e-07	0.433532757264934	0.109	0.28	0.0111648518573466	"13"	"RDX"
"HNRNPL"	3.0278118468238e-07	0.449145540540139	0.178	0.4	0.0118523694743918	"13"	"HNRNPL"
"EGR3"	3.60454634746568e-07	1.17031172776721	0.225	0.134	0.0141099966771544	"13"	"EGR3"
"EGR21"	4.36066824039881e-07	1.12586483342589	0.335	0.248	0.0170698358270411	"13"	"EGR2"
"PPP4R2"	5.37531468117378e-07	0.275971187337884	0.131	0.316	0.0210416693194548	"13"	"PPP4R2"
"MORF4L2"	5.69727947628446e-07	0.467424476864605	0.175	0.389	0.0223020005099155	"13"	"MORF4L2"
"DOCK4"	6.03029079618799e-07	1.18726865767517	0.418	0.386	0.0236055733216779	"13"	"DOCK4"
"CDC42SE21"	6.49588972683505e-07	0.254717775203585	0.182	0.404	0.0254281603356958	"13"	"CDC42SE2"
"CHD2"	6.52668091347847e-07	1.09044710427859	0.473	0.506	0.0255486924358115	"13"	"CHD2"
"TRAF3IP3"	7.2046373829909e-07	0.261810844377938	0.116	0.287	0.0282025530357179	"13"	"TRAF3IP3"
"INTS6"	7.29558893305198e-07	2.37516791699232	0.255	0.172	0.028558582878432	"13"	"INTS6"
"RPUSD3"	7.33044304056051e-07	0.327790041115132	0.044	0.163	0.0286950192822741	"13"	"RPUSD3"
"FCGBP1"	7.4403064616124e-07	1.41011678587782	0.211	0.121	0.0291250796439817	"13"	"FCGBP"
